Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
China,Liaoning,2008.5,Larix olgensis,Temperate,Deciduous,Dry,6.2,669.6
China,Liaoning,2009.5,Larix olgensis,Temperate,Deciduous,Dry,6.2,669.6
China,Liaoning,2010.5,Larix olgensis,Temperate,Deciduous,Dry,6.2,669.6
China,Liaoning,2011.5,Larix olgensis,Temperate,Deciduous,Dry,6.2,669.6
China,Liaoning Province,2012.5,Zea mays,Temperate,Deciduous,Dry,12.4,600.0
United Kingdom,Lincolnshire,2009.5,Miscanthus,Temperate,Deciduous,Dry,9.9,605.0
United Kingdom,Lincolnshire,2010.5,Miscanthus,Temperate,Deciduous,Dry,9.9,605.0
United Kingdom,Lincolnshire,2011.5,Miscanthus,Temperate,Deciduous,Dry,9.9,605.0
United Kingdom,Lincolnshire,2012.5,Miscanthus,Temperate,Deciduous,Dry,9.9,605.0
China,Loess,2012.5,Zea Mays L.,Temperate,Deciduous,Dry,8.2,474.5
China,Loess,2013.5,Zea Mays L.,Temperate,Deciduous,Dry,8.2,474.5
China,Loess,2014.5,Zea Mays L.,Temperate,Deciduous,Dry,8.2,474.5
Philippines,Luzon,2007.0,"Celtis luzonica; Ficus balete; Diplodiscus paniculatus, Swietenia macrophylla",Tropical,Evergreen,Dry,26.0,2397.0
Spain,Madrid,2010.0,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
USA,Maine,1992.0,Picea rubens,Temperate,Evergreen,Dry,4.6,1119.0
USA,Maine,1993.0,"Picea abies, Picea rubens",Temperate,Evergreen,Dry,5.666666666666667,1006.6666666666666
USA,Maine,1993.5,"Pinus strobus-Acer rubrum, Acer rubrum-Betula canadensis, Acer rubrum-Populus tremuloides, Fagus grandifolia-Tsuga canadensis, Tsuga canadensis-Acer rubrum, Acer rubrum-Picea rubens, Acer saccharum-Fagus grandifolia, Pinus strobus-Acer saccharum, Acer saccharum-Betula alleghaniensis, Acer rubrum-Betula papyrifera, Tsuga canadensis-Fagus grandifolia, Fagus grandifolia-Acer saccharum, Quercus rubra-Fagus grandifolia",Temperate,Evergreen,Dry,4.83125,1052.5
USA,Maine,1994.0,Picea rubens,Temperate,Evergreen,Mixed,5.5,1000.0
USA,Maine,1996.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Wet,5.5,1000.0
USA,Maine,1997.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Wet,5.5,1000.0
USA,Maine,1998.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,1999.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Wet,5.5,1000.0
USA,Maine,2000.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,2001.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,2002.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,2003.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,2005.0,Picea rubens; Tsuga canadensis,Temperate,Evergreen,Dry,5.5,1000.0
USA,Maine,2012.0,Tsuga canadensis (L.) Carr.,Temperate,Evergreen,Dry,5.4,1050.0
USA,Maine,2012.5,Picea rubens,Temperate,Evergreen,Wet,5.5,1000.0
Brazil,Manaus,2007.5,"Lecythidaceae, Caesalpiniaceae, Ochnaceae, Arecaceae",Tropical,Evergreen,Dry,26.7,2442.0
Canada,Manitoba,1994.0,"Pinus banksiana, Picea mariana",Boreal,Evergreen,Dry,-2.3333333333333335,540.0
Canada,Manitoba,1994.5,"Picea mariana, Pinus banksiana",Boreal,Evergreen,Medium,0.8000000000000002,450.0
Canada,Manitoba,1999.5,"Picea mariana; Pinus banksiana; Populus tremuloides, Picea mariana",Boreal,Deciduous,Medium,0.8,450.0
Canada,Manitoba,2001.5,"Picea mariana; Pinus banksiana; Populus tremuloides, Picea mariana",Boreal,Evergreen,Medium,0.8,450.0
Zimbabwe,Marondera,2012.5,"Julbernadia globiflora, Syzygium huillense; Hyperrhenia spp., Andropogon spp.; Conyla banariensis; Euphorbia spp.; Paspalum urvillei; Senecio strictifolius;Drosera spp.",Subtropical,Deciduous,Dry,18.6,750.0
USA,Massachusetts,1981.5,Spartina alterniflora,Temperate,Evergreen,Wet,10.3,1113.0
USA,Massachusetts,1988.5,"Hardwood, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1120.0
USA,Massachusetts,1989.5,"Hardwood, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1120.0
USA,Massachusetts,1991.0,"Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum, Quercus borealis; Acer rubrum; Betula papyrifera",Temperate,Deciduous,Dry,6.0,1110.6666666666667
USA,Massachusetts,1992.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,1993.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,1994.5,"Pinus resinosa, Mixed hardwood, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,7.0,1080.0
USA,Massachusetts,1995.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,1995.5,"Quercus spp., Acer rubum, Tsuga canadensis, Mixed hardwood, Acer rubrum-Sphagnum, Pinus resinosa",Temperate,Deciduous,Dry,8.372727272727273,1051.4545454545455
USA,Massachusetts,1996.0,"Acer rubrum; Quercus rubra, Quercus rubra; Acer rubrum; Tsuga canadensis; Pinus strobus",Temperate,Deciduous,Dry,8.142857142857142,1067.4285714285713
USA,Massachusetts,1996.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,1997.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Wet,8.5,1050.0
USA,Massachusetts,1997.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,1998.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,1998.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,1999.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,1999.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Mixed,Dry,8.5,1050.0
USA,Massachusetts,2000.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,2000.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2001.0,"Acer rubrum; Quercus rubra, Pinus resinosa, Hardwood",Temperate,Deciduous,Dry,8.5,1110.0
USA,Massachusetts,2001.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2002.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,2002.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Mixed,Dry,8.5,1050.0
USA,Massachusetts,2003.0,"Quercus rubra, Acer rubrum; Quercus rubra",Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,2003.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2004.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0
USA,Massachusetts,2005.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2006.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2007.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2008.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0
USA,Massachusetts,2009.0,Acer rubrum; Betula lenta; Quercus rubra; Pinus strobus; mix,Temperate,Deciduous,Dry,10.3,1063.0
USA,Massachusetts,2009.5,"Pinus resinosa, Acer rubum, Grasses, Tsuga canadensis",Temperate,Evergreen,Dry,8.7,1078.8
USA,Massachusetts,2011.5,"Tsuga canadensis, Betula lenta",Temperate,Evergreen,Dry,17.52,1254.0
Brazil,Mato Grosso,2003.0,"Tovomita schomburkii; Brosimum lactescens; Protium sagotianum; Dialium guianense; Hevea brasiliensis; Dinizia excelsa; Quina pteridophilla; Mezilaurus itauba, Protium sagotianum; Dialium guianense; Hevea brasiliensis; Brosimum lactescens",Tropical,Evergreen,Dry,24.0,2000.0
Brazil,Mato Grosso,2008.5,"Hertella glandulosa; Sclerolobium paniculatum; Xylopia aromatica, Qualea parviflora; Davilla elliptica; Roupala montana",Tropical,Deciduous,Dry,24.9,1500.0
Brazil,Mato Grosso,2010.5,Amaioua guianensis; Ocotea acutangula; Aspidosperma excelsum; Ocotea guianensis; Tapirira guianensis; Micropholis egensis; Trattinnickia burserifolia; Sloanea eichleri; Trattinnickia rhoifolia; Pouteria ramiflora,Tropical,Evergreen,Dry,25.0,1770.0
Brazil,Mato Grosso,2011.0,"Lauraceae, Burseraceae",Tropical,Evergreen,Dry,25.0,1800.0
Brazil,Mato Grosso,2012.0,"Lauraceae, Burseraceae",Tropical,Evergreen,Dry,25.0,1800.0
Brazil,Mato Grosso,2013.0,"Lauraceae, Burseraceae",Tropical,Evergreen,Dry,25.0,1800.0
Brazil,Mato Grosso,2014.0,"Lauraceae, Burseraceae",Tropical,Evergreen,Dry,25.0,1800.0
Brazil,Mato Grosso,2014.5,Urochloa brizantha,Tropical,Deciduous,Dry,24.8,1440.0
Brazil,Mato Grosso do Sul,2011.0,Saccharum spp.,Tropical,Deciduous,Dry,21.0,1550.0
USA,Michigan,1985.0,Populus grandidentata; Quercus rubra; Acer rubrum,Temperate,Deciduous,Dry,5.5,817.0
USA,Michigan,1992.0,"Acer saccharum-Tilia americana, Acer saccharum-Quercus rubra",Temperate,Deciduous,Dry,7.2,810.0
USA,Michigan,1995.5,Populus grandidentata; Populus tremuloides,Temperate,Deciduous,Dry,6.2,750.0
USA,Michigan,1999.0,"Acer saccharum, Populus grandidentata; Quercus rubra; Acer rubrum, Populus grandidentata; Populus tremuloides",Temperate,Deciduous,Dry,6.18,823.0
USA,Michigan,2000.0,"Populus grandidentata; Populus tremuloides, Populus grandidentata; Quercus rubra; Acer rubrum",Temperate,Deciduous,Dry,5.5,817.0
USA,Michigan,2001.0,"Populus grandidentata; Quercus rubra; Acer rubrum, Populus grandidentata, Acer saccharum, Populus grandidentata; Populus tremuloides",Temperate,Deciduous,Dry,6.118181818181818,822.4545454545455
USA,Michigan,2002.0,"Populus grandidentata; Populus tremuloides, Populus grandidentata; Quercus rubra; Acer rubrum, Acer saccharum; Tsuga canadensis, Tsuga canadensis",Temperate,Deciduous,Dry,4.7,856.5
USA,Michigan,2003.0,"Acer saccharum; Tsuga canadensis, Tsuga canadensis, Populus grandidentata; Quercus rubra; Acer rubrum, Populus grandidentata; Populus tremuloides",Temperate,Deciduous,Dry,4.7,856.5
USA,Michigan,2004.0,Populus grandidentata,Temperate,Deciduous,Dry,5.5,817.0
USA,Michigan,2004.5,Populus grandidentata; Quercus rubra; Acer rubrum,Temperate,Deciduous,Dry,5.5,817.0
USA,Michigan,2005.0,Acer saccharum,Temperate,Deciduous,Dry,3.9,896.0
USA,Michigan,2010.0,Chamaedaphne calyculata,Temperate,Evergreen,Wet,5.1,835.0
USA,Michigan,2011.0,Chamaedaphne calyculata,Temperate,Evergreen,Wet,5.1,835.0
USA,Michigan,2012.5,Secale cereale,Temperate,Deciduous,Dry,10.75,1014.5
USA,Michigan,2013.0,Secale cereale,Temperate,Deciduous,Dry,11.5,1002.0
USA,Michigan,2013.5,"Populus grandidentata, Secale cereale",Temperate,Deciduous,Dry,10.642857142857142,975.5714285714286
USA,Minnesota,1965.5,"Thuja occidentalis, Fraxinus nigra, Quercus ellipsoidalis; Acer rubrum; Quercus alba; Betula papyrifera",Temperate,Evergreen,Wet,5.8,802.0
USA,Minnesota,1991.0,Sphagnum,Temperate,Evergreen,Wet,3.0,770.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Mississippi,1996.5,Quercus spp.,Temperate,Deciduous,Wet,17.3,1346.0
USA,Missouri,1969.0,Andropogon gerardi; Andropogon scoparius,Temperate,Deciduous,Dry,12.8,1000.0
USA,Missouri,1969.5,Quercus alba; Quercus velutina; Carya ovata,Temperate,Deciduous,Dry,12.8,961.0
USA,Missouri,1971.0,Quercus alba; Quercus velutina; Carya ovata,Temperate,Deciduous,Dry,12.8,940.0
USA,Missouri,1975.0,Andropogon gerardi; Andropogon scoparius,Temperate,Deciduous,Dry,12.2,1000.0
USA,Missouri,1985.0,"Triticum aestivum, Andropogon gerardi",Temperate,Deciduous,Dry,12.5,973.0
USA,Missouri,1986.0,Triticum aestivum,Temperate,Deciduous,Dry,12.5,973.0
USA,Missouri,1998.0,Quercus velutina,Temperate,Deciduous,Dry,13.3,1120.0
USA,Missouri,2003.0,Quercus alba; Quercus velutina; Quercus cocinea; Pinus echinata; Carya spp.,Temperate,Deciduous,Dry,13.3,1120.0
USA,Missouri,2004.0,Quercus alba; Quercus velutina; Quercus cocinea; Pinus echinnata; Carya spp.,Temperate,Deciduous,Dry,13.300000000000002,1120.0
Italy,Mongiana,2014.5,Geranium versicolor L.,Mediterranean,Deciduous,Dry,10.1,1180.0
China,Mongolia,2011.5,"Stipa klemenzii, Stipa krylovii",Temperate,Evergreen,Dry,3.235,318.0
China,Mongolia,2012.0,"Stipa grandis, Leymus chinensis, Artemisia frigida",Boreal,Deciduous,Dry,1.7,300.0
China,Mongolia,2012.5,"Stipa krylovii, Stipa klemenzii",Temperate,Evergreen,Dry,3.235,318.0
China,Mongolia,2013.0,"Medicago sativa, Elymus nutans, Medicago sativa, Elymus nutans, Leymus chinensis",Temperate,Deciduous,Dry,0.30400000000000005,303.6
USA,Montana,1996.0,"Larix occidentalis-Pinus contorta, Pinus ponderosa-Pseudotsuga menziesii",Temperate,Evergreen,Dry,6.7,295.0
USA,Montana,2005.0,"Pinus contorta; Abies lasiocarpa; Pseudotsuga menziesii; Pinus albicaulis, Pinus contorta, Calamagrostis canadensis",Temperate,Evergreen,Dry,0.0,880.0
USA,Montana,2006.0,"Calamagrostis canadensis, Pinus contorta; Pseudotsuga menziesii, Pinus contorta",Temperate,Deciduous,Wet,0.0,880.0
USA,Montana,2012.0,Pinus contorta,Temperate,Evergreen,Dry,0.0,880.0
Cesko,Moravian-Silesian,2011.0,Vaccinium myrtillus,Temperate,Deciduous,Dry,6.8,1318.0
Russia,Moscow,2014.0,"Picea obovata, Carpinus betulus",Boreal,Evergreen,Dry,5.0,689.2
Russia,Moscow,2015.0,"Carpinus betulus, Picea obovata",Boreal,Deciduous,Dry,5.0,689.2
Russia,Moscow,2016.0,"Carpinus betulus, Picea obovata",Boreal,Deciduous,Dry,5.0,689.2
Russia,Moscow,2017.0,"Carpinus betulus, Picea obovata",Boreal,Deciduous,Dry,5.0,689.2
Japan,Mt. Hakusan,2011.0,Fagus crenata,Temperate,Deciduous,Dry,5.8,3289.0
Spain,Murcia,2006.5,"Olea europaea, Pinus halepensis; Rosmarinus officinalis; Quercus coccifera; Rhamnus lycioides; Juniperus oxycedrus",Mediterranean,Evergreen,Dry,15.5,370.0
UK,NE Wales,2000.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2001.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2002.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2003.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2004.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2005.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2006.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2007.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2008.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2009.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2010.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2011.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2012.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
Russia,Nadym,2013.0,Сladonia spp.,Boreal,Deciduous,Wet,-5.0,550.0
Russia,Nadym,2014.0,Сladonia spp.,Boreal,Deciduous,Wet,-5.0,550.0
Japan,Nagano,2013.0,Quercus serrata,Temperate,Deciduous,Dry,8.2,1241.7
China,Nanjing,2008.0,"Zoysia matrella, Cedrus deqdara, Quercus variabilis",Temperate,Deciduous,Dry,15.699999999999998,950.0
China,Nanjing,2009.0,"Quercus variabilis, Zoysia matrella, Osmanthus fragrans",Tropical,Deciduous,Dry,15.699999999999998,950.0
China,Nanling,2015.0,Cunninghamia lanceolata,Subtropical,Evergreen,Dry,15.6,2024.7
Taiwan,Nantou,2010.5,Cryptomeria japonica,Temperate,Evergreen,Dry,16.6,2635.0
Japan,Nasu,2008.0,Dactylis glomerata L.,Temperate,Deciduous,Dry,12.0,1561.0
Japan,Nasu,2009.0,Dactylis glomerata L.,Temperate,Deciduous,Dry,12.0,1561.0
USA,Nebraska,2002.5,"Zea mays, Glycine max; Zea mays",Temperate,Deciduous,Dry,11.5,682.0
USA,Nebraska,2003.0,Zea mays,Temperate,Deciduous,Dry,10.7,755.0
USA,Nebraska,2004.0,Zea mays,Temperate,Deciduous,Dry,10.7,755.0
USA,Nebraska,2005.0,"Mix, Glycine max, Zea mays",Temperate,Deciduous,Dry,10.7,755.0
USA,Nevada,2003.5,Larrea tridentata; Ambrosia dumosa,Temperate,Deciduous,Dry,16.1,74.0
USA,New Hampshire,2011.5,Betula papyrifera,Temperate,Deciduous,Dry,14.0,1400.0
USA,New Hampshire,2013.5,Acer rubrum,Temperate,Deciduous,Dry,8.5,1250.0
USA,New Mexico,1979.0,Larrea tridentata,Temperate,Evergreen,Dry,11.1,374.0
USA,New Mexico,2007.0,Bouteloua eriopoda,Temperate,Deciduous,Dry,13.199999999999998,250.0
USA,New Mexico,2008.0,Bouteloua eriopoda,Temperate,Deciduous,Dry,13.199999999999998,250.0
USA,New York,1993.0,Fagus grandifolia; Acer rubrum; Betula alleghaniensis,Temperate,Deciduous,Dry,4.4,1010.0
USA,New York,1994.0,Fagus grandifolia; Acer rubrum; Betula alleghaniensis,Temperate,Deciduous,Dry,4.4,1010.0
USA,New York,1995.0,Acer rubrum; Pinus strobus; Tsuga canadensis; Larix laricina,Temperate,Mixed,Wet,6.5,1170.0
USA,New York,1996.0,Acer rubrum; Pinus strobus; Tsuga canadensis; Larix laricina,Temperate,Mixed,Wet,6.5,1170.0
USA,New York,2003.0,Fagus grandifolia; Acer saccharum,Temperate,Deciduous,Dry,4.3,1530.0
USA,New York,2008.0,"Fraxinus spp.; Salix spp.; Acer spp.; Quercus spp.; Populus tremuloides; Juglans nigra, Cornus spp.; Lonicera spp.; Elaeagnus angustifolia, Solidago spp.; Carex spp.; Asclepias syriaca",Temperate,Deciduous,Dry,8.8,1030.0
China,Ningbo,2009.5,"Castanopsis fargesii, Castanopsis  carlesii, Schima superba",Subtropical,Evergreen,Dry,16.2,1374.7
China,Ningxia,2011.5,"Caragana korshinshii, Hedysarum scoparium",Temperate,Deciduous,Dry,9.6,186.5
China,Ningxia,2012.0,Artemisia ordosica,Temperate,Deciduous,Dry,8.1,292.0
China,Ningxia,2012.5,"Artemisia ordosical, Artemisia ordosica",Temperate,Deciduous,Dry,8.1,292.0
China,Ningxia,2014.5,"Stipagrandis, Stipa przewalskyi",Temperate,Deciduous,Dry,7.01,425.0
China,Ningxia,2015.0,"Hedysarum mongolicum, Salix psammophila, Caragana korshinskii",Temperate,Deciduous,Dry,7.6,275.0
Sweden,Norrland,2011.5,Sphagnum fuscum,Boreal,Deciduous,Wet,-0.5,320.0
USA,North Carolina,1971.5,"Mixed hardwood, Pinus strobus",Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1972.5,Pinus taeda,Temperate,Evergreen,Dry,15.6,1150.0
USA,North Carolina,1990.0,"Eucalyptus spp., Pinus spp.",Temperate,Deciduous,Wet,16.8,1349.0
USA,North Carolina,1995.0,"Pinus strobus, Mixed hardwood",Temperate,Evergreen,Dry,12.6,1900.0
