Study_midyear,Country,Region,Site_name,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
2009.0,China,Guangdong,Heshan,Eucalyptus globulus,Subtropical,Evergreen,Dry,22.5,1534.0
2009.0,China,Guangdong,Heshan,Eucalyptus globulus,Subtropical,Evergreen,Dry,22.5,1534.0
2009.0,China,Guangdong,Heshan,Eucalyptus globulus,Subtropical,Evergreen,Dry,22.5,1534.0
2009.0,Germany,Bavaria,ALT,Pinus sylvestris,Temperate,Evergreen,Dry,8.0,789.0
2009.0,USA,North Carolina,Duke Forest FACE site,Liquidambar styraciflua,Temperate,Deciduous,Dry,15.5,1145.0
2009.0,USA,North Carolina,Duke Forest FACE site,Liquidambar styraciflua,Temperate,Deciduous,Dry,15.5,1145.0
2009.0,Germany,Bavaria,FLO,Picea abies,Temperate,Evergreen,Dry,6.1,949.0
2009.0,USA,North Carolina,Duke Forest FACE site,Liquidambar styraciflua,Temperate,Deciduous,Dry,15.5,1145.0
2009.0,USA,North Carolina,Duke Forest FACE site,Liquidambar styraciflua,Temperate,Deciduous,Dry,15.5,1145.0
2009.0,China,Guangdong,Dinghushan Forest Ecosystem Research Station-BF,Castanopsis chinensis; Cryptocarya concinna; Schima superba; Machilus chinensis,Subtropical,Evergreen,Dry,21.4,1956.0
2009.0,China,Henan,Baotianman Natural Reserve,Quercus aliena,Temperate,Deciduous,Dry,15.1,900.0
2009.0,China,Henan,Baotianman Natural Reserve,Pinus armandii,Temperate,Deciduous,Dry,15.1,900.0
2009.0,China,Shanxi,Taiyueshan Long-Term Forest Ecosystem Research Station,Pinus tabuliformis; Quercus wutaishanica; Betula dahurica; Larix gmelinii; Tilia mongolica,Temperate,Deciduous,Dry,10.5,550.0
2009.0,Japan,Nasu,STAR Machinery,Dactylis glomerata L.,Temperate,Deciduous,Dry,12.0,1561.0
2009.0,China,Guangdong,Dinghushan Forest Ecosystem Research Station-BF,Castanopsis chinensis; Cryptocarya concinna; Schima superba; Machilus chinensis,Subtropical,Evergreen,Dry,21.4,1956.0
2009.0,China,Guangxi,Experimental Center of Tropical Forestry,Pinus massoniana; Castanopsis hystrix,Subtropical,Mixed,Dry,21.0,1400.0
2009.0,Zambia,Western Province,Kataba Forest Reserve,Brachystegia spiciformis; Brachystegia bakerana; Guibourtia coleosperma; Ochna pulchra,Tropical,Evergreen,Dry,21.8,948.0
2009.0,China,Shannxi,Yulin,"Setaria italica, Glycine max, Solanum tuberosum",Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,"Setaria italica, Glycine max, Solanum tuberosum",Temperate,Deciduous,Dry,8.4,437.0
2009.0,Canada,Ontario,Haliburton Forest and Wildlife Reserve,Acer saccharum,Temperate,Deciduous,Dry,4.8,1068.0
2009.0,China,Guangdong,Dinghushan Biosphere Reserve,Castanopsis chinensis; Schima superba; Cryptocarya chinensis; Cryptocarya concinna; Machilus chinensis,Subtropical,Evergreen,Dry,20.5,1700.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Larix siberica, Pinus siberica, Vaccinum vitis-idaea",Boreal,Mixed,Dry,-4.5,295.0
2009.0,Zambia,Western Province,Kataba Forest Reserve,Brachystegia spiciformis; Brachystegia bakerana; Guibourtia coleosperma; Ochna pulchra,Tropical,Evergreen,Dry,21.8,948.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Larix siberica, Pinus siberica, Vaccinum vitis-idaea",Boreal,Mixed,Dry,-4.5,295.0
2009.0,Zambia,Western Province,Kataba Forest Reserve,Brachystegia spiciformis; Brachystegia bakerana; Guibourtia coleosperma; Ochna pulchra,Tropical,Evergreen,Dry,21.8,948.0
2009.0,Zambia,Western Province,Kataba Forest Reserve,Brachystegia spiciformis; Brachystegia bakerana; Guibourtia coleosperma; Ochna pulchra,Tropical,Evergreen,Dry,21.8,948.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Salix, Artemisia tanacetifolia, Laymus chinensis",Boreal,Mixed,Dry,-4.5,295.0
2009.0,China,Yunnan,National Forest Reserve ,Terminalia myriocarpa,Tropical,Evergreen,Dry,21.5,1557.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Salix, Artemisia tanacetifolia, Laymus chinensis",Boreal,Mixed,Dry,-4.5,295.0
2009.0,China,Hunan,Qinyang,Zea mays,Subtropical,Deciduous,Dry,18.6,1431.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Carex pediformis, F. lenensis, Potentilla acaulis",Boreal,Mixed,Dry,-4.5,295.0
2009.0,China,Hunan,Qinyang,Zea mays,Subtropical,Deciduous,Dry,18.6,1431.0
2009.0,China,Shannxi,Yulin,Stipa bungeana,Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,"Setaria italica, Glycine max, Solanum tuberosum",Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,"Setaria italica, Glycine max, Solanum tuberosum",Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,Stipa bungeana,Temperate,Deciduous,Dry,8.4,437.0
2009.0,Canada,Ontario,Haliburton Forest and Wildlife Reserve,Acer saccharum,Temperate,Deciduous,Dry,4.8,1068.0
2009.0,Kenya,Nyanza province,Lambwe valley,Themeda triandra,Tropical,Deciduous,Dry,22.5,1346.0
2009.0,USA,Virginia,Virginia Tech Shenandoah Valley Agricultural Research and Extension Center,Festuca arundincacea,Temperate,Deciduous,Dry,17.0,987.0
2009.0,USA,Virginia,Virginia Tech Shenandoah Valley Agricultural Research and Extension Center,Festuca arundincacea,Temperate,Deciduous,Dry,17.0,987.0
2009.0,China,Shannxi,Yulin,Bare soil,Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,"Panicum miliaseum, Setaria italica, Glycine max, Solanum tuberosum",Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Shannxi,Yulin,Medicago sativa,Temperate,Deciduous,Dry,8.4,437.0
2009.0,Mongolia,Northern Mongolia,Lake Hovsgol International Long-Term Ecological Research Site,"Carex pediformis, F. lenensis, Potentilla acaulis",Boreal,Mixed,Dry,-4.5,295.0
2009.0,China,Shannxi,Yulin,Caragana microphylla,Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Fuzhou,Natural park,"Schima superba, Pinus massoniana",Subtropical,Evergreen,Dry,19.4,1413.7
2009.0,China,Fuzhou,Natural park,"Schima superba, Pinus massoniana",Subtropical,Evergreen,Dry,19.4,1413.7
2009.0,Canada,British Columbia,HDF88,Pseudotsuga mensiesii; Thuja plicata,Temperate,Evergreen,Dry,9.6,1610.0
2009.0,China,Shannxi,Yulin,Stipa bungeana,Temperate,Deciduous,Dry,8.4,437.0
2009.0,China,Hunan,Taoyuan agroecological experimental station,Oryza sativa,Subtropical,Deciduous,Dry,16.5,1437.0
2009.0,UK,NE Wales,Clocaenog Forest,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
2009.0,China,Shannxi,Yulin,Bungeana trin,Temperate,Deciduous,Dry,8.4,437.0
2009.0,Canada,British Columbia,DF49,Pseudotsuga mensiesii; Thuja plicata,Temperate,Evergreen,Dry,8.6,1470.0
2009.0,China,Hunan,Qinyang,Zea mays,Subtropical,Deciduous,Dry,18.6,1431.0
2009.0,China,Hebei,Saihanba Forestry Center,Pinus sylvestris var. mongolica,Temperate,Evergreen,Dry,-1.4,450.1
2009.0,Germany,Bavaria,Schlöppnerbrunnen,Molinia caerulea; Nardus stricta; Agrostis canina; Carex rostrata; Eriophorum vaginatum; Sphagnum fallax,Temperate,Deciduous,Wet,6.3,1020.0
2009.0,China,Sichuan,Meadow,"Deschampsia caespitosa, Potentilla anserine, Blysmus sinocompressus",Boreal,Deciduous,Dry,0.8,749.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.0,China,Sichuan,Meadow,"Deschampsia caespitosa, Potentilla anserine, Blysmus sinocompressus",Boreal,Deciduous,Dry,0.8,749.0
2009.0,China,Sichuan,Hummock,"Deschampsia caespitosa, Potentilla anserine, Blysmus sinocompressus",Boreal,Deciduous,Dry,0.8,749.0
2009.0,China,Guangxi,Experimental Center of Tropical Forestry,Pinus massoniana,Subtropical,Evergreen,Dry,21.0,1400.0
2009.0,Germany,Bavaria,Schlöppnerbrunnen,Molinia caerulea; Nardus stricta; Agrostis canina; Carex rostrata; Eriophorum vaginatum; Sphagnum fallax,Temperate,Deciduous,Wet,6.3,1020.0
2009.0,USA,Massachusetts,University of Massachusetts Suburban Experiment Station,Acer rubrum; Betula lenta; Quercus rubra; Pinus strobus; mix,Temperate,Deciduous,Dry,10.3,1063.0
2009.0,USA,Massachusetts,University of Massachusetts Suburban Experiment Station,Acer rubrum; Betula lenta; Quercus rubra; Pinus strobus; mix,Temperate,Deciduous,Dry,10.3,1063.0
2009.0,USA,Massachusetts,University of Massachusetts Suburban Experiment Station,Acer rubrum; Betula lenta; Quercus rubra; Pinus strobus; mix,Temperate,Deciduous,Dry,10.3,1063.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.0,China,Hunan,Qinyang,Zea mays,Subtropical,Deciduous,Dry,18.6,1431.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.0,China,Shaanxi,Ansai Research Station,Panicum virgatum,Temperate,Deciduous,Dry,8.8,500.0
2009.0,China,Hunan,Qinyang,Zea mays,Subtropical,Deciduous,Dry,18.6,1431.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.0,China,Guangxi,Experimental Center of Tropical Forestry,Castanopsis hystrix,Subtropical,Deciduous,Dry,21.0,1400.0
2009.0,China,Shaanxi,Crop Specimen Farm,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,18.2,4204.0
2009.5,China,Guandong,Dinghuashan,"Castanopsis chinensis, Schima superba, Cryp tocarya chinensis",Subtropical,Evergreen,Dry,21.4,1927.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,15.5,3521.0
2009.5,China,Shishou city,Tian e zhou wetland,Carex argyi ,Subtropical,Deciduous,Wet,16.0,1200.0
2009.5,China,Shenzhen,Wutongshan,Schefflera octophylla,Subtropical,Evergreen,Dry,22.4,1948.4
2009.5,China,Shenzhen,Wutongshan,Schefflera octophylla,Subtropical,Evergreen,Dry,22.4,1948.4
2009.5,China,Ningbo,Tiantongshan,"Castanopsis fargesii, Castanopsis  carlesii, Schima superba",Subtropical,Evergreen,Dry,16.2,1374.7
2009.5,China,Ningbo,Tiantongshan,"Castanopsis fargesii, Castanopsis  carlesii, Schima superba",Subtropical,Evergreen,Dry,16.2,1374.7
2009.5,China,Ningbo,Tiantongshan,"Castanopsis fargesii, Castanopsis  carlesii, Schima superba",Subtropical,Evergreen,Dry,16.2,1374.7
2009.5,China,Guangdong,Yangdongshan,Lithocarpus corneus ,Subtropical,Evergreen,Dry,19.0,1700.0
2009.5,China,Shaanxi,Mt. Gonglushan,Robinia pseudoacacia,Temperate,Deciduous,Dry,10.6,498.0
2009.5,China,Shaanxi,Mt. Gonglushan,Quercus liaotungensis,Temperate,Deciduous,Dry,10.6,498.0
2009.5,China,Shishou city,Tian e zhou wetland,Carex argyi ,Subtropical,Deciduous,Wet,16.0,1200.0
2009.5,China,Guandong,Dinghuashan,"Schima superba, Castanopsis chinensis, Pinus massoniana",Subtropical,Evergreen,Dry,21.4,1927.0
2009.5,Mongolia,Dalbay,Long-Term Ecological Research,Festuca lenensis,Temperate,Evergreen,Dry,-4.5,295.0
2009.5,Mongolia,Dalbay,Long-Term Ecological Research,Festuca lenensis,Temperate,Evergreen,Dry,-4.5,295.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,15.1,3448.0
2009.5,USA,Hawaii,Hakalau Forest National Wildlife Refuge,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,13.8,3488.0
2009.5,USA,Hawaii,Hakalau Forest National Wildlife Refuge,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,13.0,3195.0
2009.5,China,Guangdong,Yangdongshan,Lithocarpus corneus ,Subtropical,Evergreen,Dry,19.0,1700.0
2009.5,Mongolia,Dalbay,Long-Term Ecological Research,Festuca lenensis,Temperate,Evergreen,Dry,-4.5,295.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,16.1,3714.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,Mongolia,Dalbay,Long-Term Ecological Research,Festuca lenensis,Temperate,Evergreen,Dry,-4.5,295.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,USA,Iowa,Iowa State University’s Comparison of Biofuel Cropping Systems,Glycine max,Temperate,Deciduous,Dry,8.9,935.0
2009.5,Japan,Yamanashi,Fuji Hokuroku Flux Observation Site,Larix kaempferi,Temperate,Deciduous,Dry,8.6,1848.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,16.1,3988.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,16.7,4043.0
2009.5,USA,Hawaii,Hawaii Experimental Tropical Forest,Metrosideros polymorpha; Cheirodendron trigynum,Subtropical,Evergreen,Dry,17.3,4133.0
2009.5,China,Guandong,Dinghuashan,"Pinus massoniana, Evodia lept., Rhodomyrtus tomentosa",Subtropical,Evergreen,Dry,21.4,1927.0
2009.5,China,Shenzhen,Wutongshan,Schefflera octophylla,Subtropical,Evergreen,Dry,22.4,1948.4
2009.5,China,Liaoning,Bingla Mountain Forest Ecological Station,Larix olgensis,Temperate,Deciduous,Dry,6.2,669.6
2009.5,China,Shaanxi,Shenmu Erosion and Environment Research Station,Setaria  italica,Temperate,Deciduous,Dry,8.0,437.0
2009.5,China,Gansu,Gansu Agricultural University,Zea mays,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Hunan,Qiyang Experimental Station,Triticum aestivum,Subtropical,Deciduous,Dry,18.0,1431.0
2009.5,China,Hunan,Qiyang Experimental Station,Triticum aestivum,Subtropical,Deciduous,Dry,18.0,1431.0
2009.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1050.0
2009.5,China,Gansu,Gansu Agricultural University,Brassica napus,Temperate,Deciduous,Dry,7.2,156.0
2009.5,USA,Massachusetts,Harvard Forest,Acer rubum,Temperate,Mixed,Dry,8.5,1050.0
2009.5,Turkey,Şanlıurfa,Harran University Experimental Farm-UC,Malus domestica,Temperate,Deciduous,Dry,17.2,365.2
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,USA,Massachusetts,BACE,Grasses,Temperate,Deciduous,Dry,9.5,1194.0
2009.5,China,Gansu,Gansu Agricultural University,Pisum sativum,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Gansu,Gansu Agricultural University,Glycine max,Temperate,Deciduous,Dry,7.2,156.0
2009.5,Turkey,Şanlıurfa,Harran University Experimental Farm-BR,Malus domestica,Temperate,Deciduous,Dry,17.2,365.2
2009.5,China,Gansu,Gansu Agricultural University,Triticum aestivum,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Gansu,Gansu Agricultural University,Glycine max,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,China,Shaanxi,Shenmu Erosion and Environment Research Station,Artemisia scoparia,Temperate,Deciduous,Dry,8.0,437.0
2009.5,China,Shaanxi,Shenmu Erosion and Environment Research Station,Caragana Korshinskii,Temperate,Deciduous,Dry,8.0,437.0
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,USA,Massachusetts,Harvard Forest,Tsuga canadensis,Temperate,Evergreen,Dry,8.5,1050.0
2009.5,Peru,Cusco,San Pedro- SPD-02,Tachigali setifera; Tapirira spp.; Alchornea latifolia; Miconia spp.,Tropical,Evergreen,Dry,18.8,5302.0
2009.5,China,Gansu,Gansu Agricultural University,Zea mays,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,China,Xinjiang Province,Gurbantunggut Desert,Erodium Oxyrrhynchum,Temperate,Deciduous,Dry,8.0,231.09
2009.5,China,Gansu,Gansu Agricultural University,Zea mays,Temperate,Deciduous,Dry,7.2,156.0
2009.5,China,Hunan,Qiyang Experimental Station,Triticum aestivum,Subtropical,Deciduous,Dry,18.0,1431.0
2009.5,China,Hunan,Qiyang Experimental Station,Triticum aestivum,Subtropical,Deciduous,Dry,18.0,1431.0
2009.5,China,Gansu,Gansu Agricultural University,Zea mays,Temperate,Deciduous,Dry,7.2,156.0
2009.5,United Kingdom,Lincolnshire,Lincoln,Miscanthus,Temperate,Deciduous,Dry,9.9,605.0
2009.5,New Zealand,North Island,Stoney Creek-SC1,Leptospermum scoparium; Kunzea ericoides,Temperate,Deciduous,Dry,10.8,1380.0
2009.5,USA,Massachusetts,Harvard Forest,Acer rubum,Temperate,Deciduous,Dry,8.5,1050.0
2009.5,Switzerland,Uri,Damma glacier,Agrostis gigantea; Salix spp.; Deschampsia cespitosa,Boreal,Deciduous,Dry,2.2,2400.0
2009.5,New Zealand,North Island,Stoney Creek-SC2,Leptospermum scoparium; Kunzea ericoides,Temperate,Deciduous,Dry,10.8,1380.0
2009.5,New Zealand,North Island,National Park-NP1,Leptospermum scoparium; Kunzea ericoides,Temperate,Deciduous,Dry,8.9,1410.0
2009.5,New Zealand,North Island,National Park-NP2,Leptospermum scoparium; Kunzea ericoides,Temperate,Deciduous,Dry,8.9,1410.0
2009.5,China,Inner Mongolia,Duolun Restoration Ecology Experimentation and Demonstration Station,Stipa krylovii; Agropyron cristatum; Leymus chinensis; Artemisia frigida,Temperate,Deciduous,Dry,3.3,377.0
2009.5,Switzerland,Uri,Damma glacier,Rhododendron ferrugineum; Festuca rubra; Agrostis gigantea,Boreal,Deciduous,Dry,2.2,2400.0
2009.5,Germany,Cologne,Selhausen,Triticum aestivum,Temperate,Deciduous,Dry,9.9,698.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,China,Xinjiang Uygur,Junggar Basin,Mixed,Temperate,Deciduous,Dry,7.7,102.0
2010.0,China,Xinjiang Uygur,Junggar Basin,Gossypium spp.,Temperate,Deciduous,Dry,7.7,102.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,China,Xinjiang Uygur,Junggar Basin,Gossypium spp.,Temperate,Deciduous,Dry,7.7,102.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
2010.0,China,Hebei,Quzhoi Experimental Station,Triticum aestivum,Temperate,Deciduous,Dry,13.2,494.0
2010.0,China,Dinghuashan,Dinghushan Biosphere Reserve,Pinus massoniana Lamb.,Subtropical,Evergreen,Dry,22.3,1680.0
2010.0,USA,Texas,Big Bend National Park,Larrea tridentada,Mediterranean,Deciduous,Dry,19.4,342.0
2010.0,Spain,Madrid,La Chimenea Field Station,Zea mays,Mediterranean,Deciduous,Dry,14.0,350.0
